unique_im,is_specialcore,stim_pos,stim_pos_i,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
25,0,left,1,33.75,1,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,0,right,2,78.75,2,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,0,left,1,123.75,3,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,0,right,2,168.75,4,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,0,left,1,213.75,5,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,0,right,2,258.75,6,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,0,left,1,303.75,7,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,0,right,2,348.75,8,0.3,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,0,left,1,33.75,1,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0,right,2,78.75,2,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0,left,1,123.75,3,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0,right,2,168.75,4,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,0,left,1,213.75,5,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,0,right,2,258.75,6,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,0,left,1,303.75,7,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,0,right,2,348.75,8,0.65,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1,left,1,33.75,1,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,4
143,0,left,1,13.75,1,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,0,left,1,23.75,1,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,0,left,1,43.75,1,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,0,left,1,53.75,1,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1,right,2,78.75,2,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,3
147,0,right,2,58.75,2,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,0,right,2,68.75,2,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149,0,right,2,88.75,2,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,0,right,2,98.75,2,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1,left,1,123.75,3,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,4
151,0,left,1,103.75,3,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152,0,left,1,113.75,3,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,0,left,1,133.75,3,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,0,left,1,143.75,3,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1,right,2,168.75,4,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,3
155,0,right,2,148.75,4,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,0,right,2,158.75,4,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157,0,right,2,178.75,4,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,0,right,2,188.75,4,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1,left,1,213.75,5,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,1
159,0,left,1,193.75,5,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,0,left,1,203.75,5,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161,0,left,1,223.75,5,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,0,left,1,233.75,5,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1,right,2,258.75,6,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,1
163,0,right,2,238.75,6,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,0,right,2,248.75,6,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
165,0,right,2,268.75,6,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166,0,right,2,278.75,6,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1,left,1,303.75,7,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,3
167,0,left,1,283.75,7,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
168,0,left,1,293.75,7,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169,0,left,1,313.75,7,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,0,left,1,323.75,7,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1,right,2,348.75,8,1,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,3
171,0,right,2,328.75,8,1,3,-20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,0,right,2,338.75,8,1,3,-10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,0,right,2,358.75,8,1,3,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,0,right,2,8.75,8,1,3,20,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
583,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,160,305,281,123,1.105671658,1.464203044,-0.308270826,1.332701304,33.75,213.75,41,NaN,NaN,NaN
584,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,120,302,233,132,1.297044102,1.558188196,-0.43137013,0.811412818,33.75,213.75,41,NaN,NaN,NaN
585,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,208,204,288,84,0.473991759,0.471786017,-0.450555642,1.643232871,33.75,213.75,41,NaN,NaN,NaN
586,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,137,317,271,117,1.198486304,1.65909579,-0.366612158,1.268337149,33.75,213.75,41,NaN,NaN,NaN
587,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,119,281,200,159,1.34994706,1.353455553,-0.420633826,0.337908215,33.75,213.75,41,NaN,NaN,NaN
588,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,154,283,260,125,1.153243416,1.235665768,-0.357908775,1.110525914,33.75,213.75,41,NaN,NaN,NaN
589,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,146,246,250,90,1.288769582,0.865455815,-0.561106,1.287413142,33.75,213.75,41,NaN,NaN,NaN
590,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,136,257,258,75,1.323781193,1.025008771,-0.582808071,1.478081575,33.75,213.75,41,NaN,NaN,NaN
591,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,176,313,311,111,1.020940953,1.543275473,-0.293749251,1.69554927,33.75,213.75,41,NaN,NaN,NaN
592,1,left,1,33.75,1,1,3,0,0,NaN,NaN,1,41,184,135,43,2.005013354,1.535325085,-1.214267051,1.582938616,33.75,213.75,41,NaN,NaN,NaN
593,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,155,120,321,144,-1.255073165,0.681912507,-0.145922575,1.679328493,98,278,41,NaN,NaN,NaN
594,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,112,122,317,162,-1.584989155,0.951987677,-0.066655787,1.600656991,101,281,41,NaN,NaN,NaN
595,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,222,34,263,223,-0.819683666,1.699426284,0.322048263,1.118706864,167.75,347.75,41,NaN,NaN,NaN
596,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,268,276,63,228,0.537559247,1.526287685,1.762122604,1.413550507,283,463,41,NaN,NaN,NaN
597,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,118,144,272,101,-1.712789325,0.753871698,-0.434309382,1.382659418,74.25,254.25,41,NaN,NaN,NaN
598,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,231,275,231,110,0.692718609,1.279275247,-0.575681528,0.97784673,0,180,41,NaN,NaN,NaN
599,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,183,169,163,321,-0.570761258,0.114948311,1.081427141,1.646838857,187.5,367.5,41,NaN,NaN,NaN
600,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,249,247,88,100,0.502351655,1.147812971,-1.57685872,1.323914203,312.5,492.5,41,NaN,NaN,NaN
601,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,48,235,59,84,1.763577201,1.594682916,-1.607589629,1.695453515,4,184,41,NaN,NaN,NaN
602,1,left,1,33.75,1,1,3,0,0,NaN,NaN,2,155,74,114,311,-1.152371128,1.186241536,1.304934217,1.680313182,190,370,41,NaN,NaN,NaN
603,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,63,249,181,226,1.671393767,1.534173156,0.965955997,0.562097324,78.75,258.75,42,NaN,NaN,NaN
604,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,70,154,306,107,-1.905789979,1.237648668,-0.319889695,1.669934708,78.75,258.75,42,NaN,NaN,NaN
605,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,129,230,270,202,1.490817097,0.816089299,0.176625559,1.095223912,78.75,258.75,42,NaN,NaN,NaN
606,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,112,136,292,100,-1.67318211,0.863821488,-0.381194573,1.568078333,78.75,258.75,42,NaN,NaN,NaN
607,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,45,131,215,97,-1.826205861,1.578859652,-0.726987591,0.996181537,78.75,258.75,42,NaN,NaN,NaN
608,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,32,137,286,87,-1.867384287,1.695487875,-0.446609235,1.607990054,78.75,258.75,42,NaN,NaN,NaN
609,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,123,191,284,159,1.870695814,0.628759609,-0.10578342,1.234689175,78.75,258.75,42,NaN,NaN,NaN
610,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,96,154,261,121,-1.86531321,0.952248153,-0.376050662,1.148389866,78.75,258.75,42,NaN,NaN,NaN
611,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,98,201,319,157,1.840763907,0.933376551,-0.086051206,1.632865952,78.75,258.75,42,NaN,NaN,NaN
612,1,right,2,78.75,2,1,3,0,0,NaN,NaN,1,54,265,289,218,1.63615749,1.71477493,0.229415545,1.359483344,78.75,258.75,42,NaN,NaN,NaN
613,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,55,206,267,286,1.887277196,1.420387576,0.573866593,1.608201901,110.75,290.75,42,NaN,NaN,NaN
614,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,207,163,41,232,-0.272604993,0.383642128,1.789966407,1.659348758,247.5,427.5,42,NaN,NaN,NaN
615,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,198,274,104,189,0.882149498,1.131429444,1.933996309,0.838254716,312.25,492.25,42,NaN,NaN,NaN
616,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,246,252,191,38,0.535631322,1.16736672,-0.953141907,1.582626474,345.5,525.5,42,NaN,NaN,NaN
617,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,160,168,266,211,-1.730777701,0.205700349,0.237997551,1.089627054,112,292,42,NaN,NaN,NaN
618,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,127,81,242,135,-1.329777861,1.213292708,-0.368574324,0.880240249,115,295,42,NaN,NaN,NaN
619,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,169,208,227,32,1.170362229,0.367638523,-0.801513656,1.73653953,18.25,198.25,42,NaN,NaN,NaN
620,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,267,125,141,327,-0.336291188,1.184155654,1.170667361,1.748065607,212,392,42,NaN,NaN,NaN
621,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,253,47,161,226,-0.676133317,1.70491942,1.214175731,0.581987224,207,387,42,NaN,NaN,NaN
622,1,right,2,78.75,2,1,3,0,0,NaN,NaN,2,269,171,144,62,-0.037506027,1.053020463,-1.201261869,1.348298439,311,491,42,NaN,NaN,NaN
623,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,197,175,310,250,-0.054037558,0.238506916,0.326560907,1.721035282,123.75,303.75,43,NaN,NaN,NaN
624,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,118,121,272,224,-1.55295342,0.914366357,0.302994379,1.206960788,123.75,303.75,43,NaN,NaN,NaN
625,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,127,100,303,218,-1.397722532,1.032658921,0.206877495,1.508432341,123.75,303.75,43,NaN,NaN,NaN
626,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,75,73,284,213,-1.527119836,1.64338083,0.213809036,1.282773242,123.75,303.75,43,NaN,NaN,NaN
627,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,54,99,288,256,-1.675219991,1.641873071,0.400558173,1.549917865,123.75,303.75,43,NaN,NaN,NaN
628,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,168,167,285,245,-1.507077497,0.147449341,0.367528806,1.457336421,123.75,303.75,43,NaN,NaN,NaN
629,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,131,80,295,190,-1.309088042,1.207014602,0.073045672,1.347244211,123.75,303.75,43,NaN,NaN,NaN
630,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,106,184,246,278,1.975138807,0.808853015,0.628205279,1.396342056,123.75,303.75,43,NaN,NaN,NaN
631,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,111,136,282,250,-1.68190294,0.872868145,0.396828232,1.454126839,123.75,303.75,43,NaN,NaN,NaN
632,1,left,1,123.75,3,1,3,0,0,NaN,NaN,1,133,145,273,238,-1.630447239,0.606926488,0.369605341,1.293597789,123.75,303.75,43,NaN,NaN,NaN
633,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,263,147,119,35,-0.215889691,1.041849225,-1.27142393,1.736854443,307.75,487.75,43,NaN,NaN,NaN
634,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,301,171,191,94,-0.031085428,1.415617077,-0.906450281,0.948292216,304.75,484.75,43,NaN,NaN,NaN
635,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,211,138,114,253,-0.545017696,0.579595757,1.467053892,1.120904418,220.25,400.25,43,NaN,NaN,NaN
636,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,110,167,259,79,-1.952747232,0.766638746,-0.566740064,1.450176707,59.25,239.25,43,NaN,NaN,NaN
637,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,241,38,124,210,-0.738302366,1.735373346,1.666871461,0.703223772,214,394,43,NaN,NaN,NaN
638,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,283,277,62,232,0.492403528,1.661535121,1.745770851,1.441950618,281.5,461.5,43,NaN,NaN,NaN
639,1,left,1,123.75,3,1,3,0,0,NaN,NaN,2,226,178,171,74,0.014937539,0.55981184,-1.053239647,1.163658241,332.25,512.25,43,NaN,NaN,NaN
