unique_im,stim_pos_i,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,dot_pos,is_in_img_ltm
25,1,left,22.5,1,0.064,1,0,0,,0
207,1,left,7.5,1,0.064,1,-15,1,,0
208,1,left,17.5,1,0.064,1,-5,2,,0
209,1,left,27.5,1,0.064,1,5,3,,0
210,1,left,37.5,1,0.064,1,15,4,,0
26,2,right,67.5,2,0.064,1,0,0,,0
211,2,right,52.5,2,0.064,1,-15,1,,0
212,2,right,62.5,2,0.064,1,-5,2,,0
213,2,right,72.5,2,0.064,1,5,3,,0
214,2,right,82.5,2,0.064,1,15,4,,0
27,1,left,112.5,3,0.064,1,0,0,,0
215,1,left,97.5,3,0.064,1,-15,1,,0
216,1,left,107.5,3,0.064,1,-5,2,,0
217,1,left,117.5,3,0.064,1,5,3,,0
218,1,left,127.5,3,0.064,1,15,4,,0
28,2,right,157.5,4,0.064,1,0,0,,0
219,2,right,142.5,4,0.064,1,-15,1,,0
220,2,right,152.5,4,0.064,1,-5,2,,0
221,2,right,162.5,4,0.064,1,5,3,,0
222,2,right,172.5,4,0.064,1,15,4,,0
29,1,left,202.5,5,0.064,1,0,0,,0
223,1,left,187.5,5,0.064,1,-15,1,,0
224,1,left,197.5,5,0.064,1,-5,2,,0
225,1,left,207.5,5,0.064,1,5,3,,0
226,1,left,217.5,5,0.064,1,15,4,,0
30,2,right,247.5,6,0.064,1,0,0,,0
227,2,right,232.5,6,0.064,1,-15,1,,0
228,2,right,242.5,6,0.064,1,-5,2,,0
229,2,right,252.5,6,0.064,1,5,3,,0
230,2,right,262.5,6,0.064,1,15,4,,0
31,1,left,292.5,7,0.064,1,0,0,,0
231,1,left,277.5,7,0.064,1,-15,1,,0
232,1,left,287.5,7,0.064,1,-5,2,,0
233,1,left,297.5,7,0.064,1,5,3,,0
234,1,left,307.5,7,0.064,1,15,4,,0
32,2,right,337.5,8,0.064,1,0,0,,0
235,2,right,322.5,8,0.064,1,-15,1,,0
236,2,right,332.5,8,0.064,1,-5,2,,0
237,2,right,342.5,8,0.064,1,5,3,,0
238,2,right,352.5,8,0.064,1,15,4,,0
33,1,left,22.5,1,0.128,2,0,0,,0
239,1,left,7.5,1,0.128,2,-15,1,,0
240,1,left,17.5,1,0.128,2,-5,2,,0
241,1,left,27.5,1,0.128,2,5,3,,0
242,1,left,37.5,1,0.128,2,15,4,,0
34,2,right,67.5,2,0.128,2,0,0,,0
243,2,right,52.5,2,0.128,2,-15,1,,0
244,2,right,62.5,2,0.128,2,-5,2,,0
245,2,right,72.5,2,0.128,2,5,3,,0
246,2,right,82.5,2,0.128,2,15,4,,0
35,1,left,112.5,3,0.128,2,0,0,,0
247,1,left,97.5,3,0.128,2,-15,1,,0
248,1,left,107.5,3,0.128,2,-5,2,,0
249,1,left,117.5,3,0.128,2,5,3,,0
250,1,left,127.5,3,0.128,2,15,4,,0
36,2,right,157.5,4,0.128,2,0,0,,0
251,2,right,142.5,4,0.128,2,-15,1,,0
252,2,right,152.5,4,0.128,2,-5,2,,0
253,2,right,162.5,4,0.128,2,5,3,,0
254,2,right,172.5,4,0.128,2,15,4,,0
37,1,left,202.5,5,0.128,2,0,0,,0
255,1,left,187.5,5,0.128,2,-15,1,,0
256,1,left,197.5,5,0.128,2,-5,2,,0
257,1,left,207.5,5,0.128,2,5,3,,0
258,1,left,217.5,5,0.128,2,15,4,,0
38,2,right,247.5,6,0.128,2,0,0,,0
259,2,right,232.5,6,0.128,2,-15,1,,0
260,2,right,242.5,6,0.128,2,-5,2,,0
261,2,right,252.5,6,0.128,2,5,3,,0
262,2,right,262.5,6,0.128,2,15,4,,0
39,1,left,292.5,7,0.128,2,0,0,,0
263,1,left,277.5,7,0.128,2,-15,1,,0
264,1,left,287.5,7,0.128,2,-5,2,,0
265,1,left,297.5,7,0.128,2,5,3,,0
266,1,left,307.5,7,0.128,2,15,4,,0
40,2,right,337.5,8,0.128,2,0,0,,0
267,2,right,322.5,8,0.128,2,-15,1,,0
268,2,right,332.5,8,0.128,2,-5,2,,0
269,2,right,342.5,8,0.128,2,5,3,,0
270,2,right,352.5,8,0.128,2,15,4,,0
41,1,left,22.5,1,0.512,3,0,0,,1
271,1,left,7.5,1,0.512,3,-15,1,,0
272,1,left,17.5,1,0.512,3,-5,2,,0
273,1,left,27.5,1,0.512,3,5,3,,0
274,1,left,37.5,1,0.512,3,15,4,,0
42,2,right,67.5,2,0.512,3,0,0,,1
275,2,right,52.5,2,0.512,3,-15,1,,0
276,2,right,62.5,2,0.512,3,-5,2,,0
277,2,right,72.5,2,0.512,3,5,3,,0
278,2,right,82.5,2,0.512,3,15,4,,0
43,1,left,112.5,3,0.512,3,0,0,,1
279,1,left,97.5,3,0.512,3,-15,1,,0
280,1,left,107.5,3,0.512,3,-5,2,,0
281,1,left,117.5,3,0.512,3,5,3,,0
282,1,left,127.5,3,0.512,3,15,4,,0
44,2,right,157.5,4,0.512,3,0,0,,1
283,2,right,142.5,4,0.512,3,-15,1,,0
284,2,right,152.5,4,0.512,3,-5,2,,0
285,2,right,162.5,4,0.512,3,5,3,,0
286,2,right,172.5,4,0.512,3,15,4,,0
45,1,left,202.5,5,0.512,3,0,0,,1
287,1,left,187.5,5,0.512,3,-15,1,,0
288,1,left,197.5,5,0.512,3,-5,2,,0
289,1,left,207.5,5,0.512,3,5,3,,0
290,1,left,217.5,5,0.512,3,15,4,,0
46,2,right,247.5,6,0.512,3,0,0,,1
291,2,right,232.5,6,0.512,3,-15,1,,0
292,2,right,242.5,6,0.512,3,-5,2,,0
293,2,right,252.5,6,0.512,3,5,3,,0
294,2,right,262.5,6,0.512,3,15,4,,0
47,1,left,292.5,7,0.512,3,0,0,,1
295,1,left,277.5,7,0.512,3,-15,1,,0
296,1,left,287.5,7,0.512,3,-5,2,,0
297,1,left,297.5,7,0.512,3,5,3,,0
298,1,left,307.5,7,0.512,3,15,4,,0
48,2,right,337.5,8,0.512,3,0,0,,1
299,2,right,322.5,8,0.512,3,-15,1,,0
300,2,right,332.5,8,0.512,3,-5,2,,0
301,2,right,342.5,8,0.512,3,5,3,,0
302,2,right,352.5,8,0.512,3,15,4,,0